symbol,reason
ACT,Yahoo: no data returned
AFL,Yahoo: no data returned
AG,Yahoo: no data returned
ALAB,Yahoo: no data returned
ALGM,Yahoo: no data returned
ALNY,Yahoo: no data returned
AMP,Yahoo: no data returned
AMZN,Yahoo: no data returned
APP,Yahoo: no data returned
APPF,Yahoo: no data returned
ARGX,Yahoo: no data returned
ARWR,Yahoo: no data returned
AS,Yahoo: no data returned
ASND,Yahoo: no data returned
ASR,Yahoo: no data returned
BAM,Yahoo: no data returned
BHP,Yahoo: no data returned
BILL,Yahoo: no data returned
BIO,Yahoo: no data returned
BIO-B,Yahoo: no data returned
BKNG,Yahoo: no data returned
BLLN,Yahoo: no data returned
BZ,Yahoo: no data returned
CAI,Yahoo: no data returned
CAMT,Yahoo: no data returned
CDE,Yahoo: no data returned
CELH,Yahoo: no data returned
CHYM,Yahoo: no data returned
CNS,Yahoo: no data returned
CNX,Yahoo: no data returned
COIN,Yahoo: no data returned
CRDO,Yahoo: no data returned
CSGP,Yahoo: no data returned
DASH,Yahoo: no data returned
DDOG,Yahoo: no data returned
DOCU,Yahoo: no data returned
DUOL,Yahoo: no data returned
EBAY,Yahoo: no data returned
EDU,Yahoo: no data returned
EGO,Yahoo: no data returned
EL,Yahoo: no data returned
ESNT,Yahoo: no data returned
FAF,Yahoo: no data returned
FANG,Yahoo: no data returned
FIG,Yahoo: no data returned
FIGR,Yahoo: no data returned
FNF,Yahoo: no data returned
FSLY,Yahoo: no data returned
FSM,Yahoo: no data returned
GFI,Yahoo: no data returned
GLBE,Yahoo: no data returned
GWRE,Yahoo: no data returned
HGTY,Yahoo: no data returned
HL,Yahoo: no data returned
HNGE,Yahoo: no data returned
HUBS,Yahoo: no data returned
IAC,Yahoo: no data returned
ILMN,Yahoo: no data returned
INDV,Yahoo: no data returned
IRTC,Yahoo: no data returned
JAZZ,Yahoo: no data returned
JLL,Yahoo: no data returned
JXN,Yahoo: no data returned
KOF,Yahoo: no data returned
KRYS,Yahoo: no data returned
KT,Yahoo: no data returned
LIF,Yahoo: no data returned
LIVN,Yahoo: no data returned
LMND,Yahoo: no data returned
MFC,Yahoo: no data returned
MIRM,Yahoo: no data returned
MNDY,Yahoo: no data returned
MTG,Yahoo: no data returned
MTSI,Yahoo: no data returned
NET,Yahoo: no data returned
NTES,Yahoo: no data returned
NTNX,Yahoo: no data returned
NTSK,Yahoo: no data returned
NWS,Yahoo: no data returned
NWSA,Yahoo: no data returned
OKTA,Yahoo: no data returned
OMAB,Yahoo: no data returned
ONC,Yahoo: no data returned
ORLA,Yahoo: no data returned
PAAS,Yahoo: no data returned
PAC,Yahoo + FMP: insufficient data
PANW,Yahoo: no data returned
PATH,Yahoo: no data returned
PCOR,Yahoo + FMP: insufficient data
PEGA,Yahoo + FMP: insufficient data
PHG,Yahoo + FMP: insufficient data
PINS,Yahoo + FMP: insufficient data
PLTR,Yahoo + FMP: insufficient data
PRI,Yahoo + FMP: insufficient data
PSO,Yahoo + FMP: insufficient data
PTCT,Yahoo + FMP: insufficient data
RAL,Yahoo + FMP: insufficient data
RBRK,Yahoo + FMP: insufficient data
RDDT,Yahoo + FMP: insufficient data
RELX,Yahoo + FMP: insufficient data
RELY,Yahoo + FMP: insufficient data
RMBS,Yahoo + FMP: insufficient data
S,Yahoo + FMP: insufficient data
SHOP,Yahoo + FMP: insufficient data
SKM,Yahoo + FMP: insufficient data
SMTC,Yahoo + FMP: insufficient data
SNAP,Yahoo + FMP: insufficient data
SNN,Yahoo + FMP: insufficient data
SNOW,Yahoo + FMP: insufficient data
SPHR,Yahoo + FMP: insufficient data
TAL,Yahoo + FMP: insufficient data
TEAM,Yahoo + FMP: insufficient data
TEO,Yahoo + FMP: insufficient data
TMDX,Yahoo + FMP: insufficient data
TTWO,Yahoo + FMP: insufficient data
TWLO,Yahoo + FMP: insufficient data
UL,Yahoo + FMP: insufficient data
VEON,Yahoo + FMP: insufficient data
VSNT,Yahoo + FMP: insufficient data
WDAY,Yahoo + FMP: insufficient data
WIX,Yahoo + FMP: insufficient data
WTM,Yahoo + FMP: insufficient data
YMM,Yahoo + FMP: insufficient data
YOU,Yahoo + FMP: insufficient data
Z,Yahoo + FMP: insufficient data
ZETA,Yahoo + FMP: insufficient data
ZG,Yahoo + FMP: insufficient data
ZS,Yahoo + FMP: insufficient data
